region_code,region,member_states,supported_states,supported_state_fraction,state_pair_comparisons,mean_between_state_direction_similarity,minimum_between_state_direction_similarity,minimum_similarity_pair,sampled_adjacent_state_pairs,sampled_adjacent_neighbor_pairs,weighted_mean_adjacent_direction_similarity,minimum_adjacent_direction_similarity,minimum_adjacent_similarity_pair
AAP,Arctic–Atlantic Polar,"['ARCT', 'BPLR', 'SARC']","['ARCT', 'BPLR', 'SARC']",1.0,3,-0.11714256834954129,-0.17592556805200754,"['BPLR', 'SARC']",2,4,0.37741072065982323,0.13971138255614002,"['ARCT', 'BPLR']"
NPP,North Pacific Polar,['BERS'],['BERS'],1.0,0,,,,0,0,,,
ANP,Antarctic Polar,"['ANTA', 'APLR']","['ANTA', 'APLR']",1.0,1,0.6938008237444092,0.6938008237444092,"['ANTA', 'APLR']",0,0,,,
NPW,North Pacific Westerlies,"['KURO', 'NPPF', 'NPSE', 'NPSW', 'PSAE', 'PSAW']","['KURO', 'NPPF', 'NPSE', 'NPSW', 'PSAE', 'PSAW']",1.0,15,0.26365836302155043,-0.4180803415869339,"['KURO', 'NPSE']",7,17,0.09954070250366734,-0.2263268280568552,"['KURO', 'NPSW']"
TAW,Tasman Westerlies,['TASM'],['TASM'],1.0,0,,,,0,0,,,
PT,Pacific Trades,"['ARCH', 'NPTG', 'PEQD', 'PNEC', 'SPSG', 'WARM']","['ARCH', 'NPTG', 'PEQD', 'PNEC', 'SPSG', 'WARM']",1.0,15,-0.005585691851066118,-0.9635981214081321,"['PEQD', 'SPSG']",7,28,0.4839083070798536,-0.19599818334892552,"['ARCH', 'WARM']"
OCT,Oceanic California Trades,['OCAL'],['OCAL'],1.0,0,,,,0,0,,,
EPC,Eastern Pacific Coastal,"['ALSK', 'CAMR', 'CCAL', 'HUMB']","['ALSK', 'CAMR', 'CCAL', 'HUMB']",1.0,6,-0.022803556696348065,-0.5108518760957714,"['CCAL', 'HUMB']",2,4,0.46019563097012794,-0.27955532993685944,"['CAMR', 'CCAL']"
WPC,Western Pacific Coastal,"['CHIN', 'SUND']","['CHIN', 'SUND']",1.0,1,0.7061717344368851,0.7061717344368851,"['CHIN', 'SUND']",1,4,0.09012819970439429,0.09012819970439429,"['CHIN', 'SUND']"
SWPC,Southwest Pacific Coastal,"['AUSE', 'NEWZ']","['AUSE', 'NEWZ']",1.0,1,-0.31876759195671434,-0.31876759195671434,"['AUSE', 'NEWZ']",1,5,0.4094012237512376,0.4094012237512376,"['AUSE', 'NEWZ']"
NAW,North Atlantic Westerlies,"['GFST', 'NADR', 'NAST E', 'NAST W']","['GFST', 'NADR', 'NAST E', 'NAST W']",1.0,6,-0.18343483552791898,-0.41022343725555466,"['NAST E', 'NAST W']",3,9,-0.05075899450165419,-0.11702055056889105,"['NADR', 'NAST E']"
MW,Mediterranean Westerlies,['MEDI'],['MEDI'],1.0,0,,,,0,0,,,
OAT,Open Atlantic Trades,"['ETRA', 'NATR', 'SATL', 'WTRA']","['ETRA', 'NATR', 'SATL', 'WTRA']",1.0,6,0.02691377177017266,-0.9285000796250674,"['SATL', 'WTRA']",4,11,0.28818361201133585,-0.3830681753563823,"['NATR', 'WTRA']"
CT,Caribbean Trades,['CARB'],['CARB'],1.0,0,,,,0,0,,,
NWAC,Northwest Atlantic Coastal,['NWCS'],['NWCS'],1.0,0,,,,0,0,,,
WAC,Western Atlantic Coastal,"['BRAZ', 'FKLD', 'GUIA']","['BRAZ', 'FKLD', 'GUIA']",1.0,3,-0.2230391142245298,-0.6108956401277326,"['BRAZ', 'GUIA']",1,5,0.1883029829092391,0.1883029829092391,"['BRAZ', 'FKLD']"
EAC,Eastern Atlantic Coastal,"['BENG', 'CNRY', 'GUIN', 'NECS']","['BENG', 'CNRY', 'GUIN', 'NECS']",1.0,6,-0.11359958318494999,-0.974969866012761,"['CNRY', 'NECS']",1,1,0.1754576873768831,0.1754576873768831,"['BENG', 'GUIN']"
ARW,Arabian Westerlies,['ARAB'],['ARAB'],1.0,0,,,,0,0,,,
IT,Indian Trades,"['ISSG', 'MONS']","['ISSG', 'MONS']",1.0,1,-0.26215520242888535,-0.26215520242888535,"['ISSG', 'MONS']",1,4,0.05226175925372258,0.05226175925372258,"['ISSG', 'MONS']"
AIC,Afro-Asian Indian Coastal,"['EAFR', 'IND E', 'IND W', 'REDS']","['EAFR', 'IND E', 'IND W', 'REDS']",1.0,6,0.3307374179160133,-0.06339766936635947,"['IND W', 'REDS']",1,4,0.5167231609358792,0.5167231609358792,"['EAFR', 'IND W']"
SEIC,Southeast Indian Coastal,['AUSW'],['AUSW'],1.0,0,,,,0,0,,,
SW,Southern Westerlies,"['SANT', 'SSTC']","['SANT', 'SSTC']",1.0,1,0.9845951464008704,0.9845951464008704,"['SANT', 'SSTC']",1,1,0.02000010215256382,0.02000010215256382,"['SANT', 'SSTC']"
